ID Produto;Data;Produto;Categoria;Subcategoria;Loja;Preco Vendido
1;01/01/2018;BLUSA MASCULINA GINASTICA;Roupas;Agasalhos;Barra da Tijuca - RJ;39.99
2;01/01/2018;AGASALHO MENINO GINASTICA;Roupas;Agasalhos;Tijuca - RJ;69.99
3;01/01/2018;BERMUDA FITNESS MASCULINA FST 120 PRETO CLASSICA;Roupas;Bermudas;Botagogo - RJ;59.99
4;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/CINZA;Roupas;Bermudas;Tijuca - RJ;89.99
5;01/01/2018;"BERMUDA MASCULINA ""REPS"" VERMELHA - LINHA 500";Roupas;Bermudas;Tijuca - RJ;109.99
6;01/01/2018;BERMUDA FITNESS MASCULINA FTS500 PRETO/VERMELHO;Roupas;Bermudas;Botagogo - RJ;79.99
7;01/01/2018;CALCA SLIM 500;Roupas;Calcas;Botagogo - RJ;129.99
8;01/01/2018;CALCA MASCULINA 500;Roupas;Calcas;Botagogo - RJ;129.99
9;01/01/2018;CALCA DE FITNESS ENERGY DOMYOS MASCULINA;Roupas;Calcas;Cachambi - RJ;89.99
10;01/01/2018;CAMISETA FITNESS MASCULINA FST500 VERDE CAQUI;Roupas;Camisetas;Cachambi - RJ;79.99
11;01/01/2018;CAMISETA FITNESS MASCULINA FST500 PRETO CINZENTO;Roupas;Camisetas;Tijuca - RJ;79.99
12;01/01/2018;CAMISETA FITNESS MASCULINA FST500 AZUL/AZUL MARINHO;Roupas;Camisetas;Tijuca - RJ;59.99
13;01/01/2018;CAMISETA FITNESS MASCULINA FST120 BORDO ESTAMPADO;Roupas;Camisetas;Cachambi - RJ;59.99
14;01/01/2018;CAMISETA FITNESS MASCULINA FST120 ESTAMPADO CAQUI;Roupas;Camisetas;Botagogo - RJ;49.99
15;01/01/2018;JAQUETA FITNESS MASCULINA FVE100 AZUL MARINHO;Roupas;Jaquetas;Cachambi - RJ;119.99
16;01/01/2018;JAQUETA MASCULINA DE ACADEMIA FVE900;Roupas;Jaquetas;Botagogo - RJ;169.99
17;01/01/2018;CASACO MASCULINO GINASTICA SPACER;Roupas;Jaquetas;Gavea - RJ;189.99
18;01/01/2018;REGATA MACHAO MASCULINA FTA 500 VERDE;Roupas;Regatas;Tijuca - RJ;69.99
